,tweets
898,"@_rlthingy pengalaman gue minggu lalu pertama kalinya solo trip kesana.
+ : enak buat refreshing, nyobain makanan yang gaada di indo, ngerasain MRT nya yang tertata, informatif, terus strategis, bisa beli barang yang gaada di indo juga
- : ini kl sendirian bingung bgt mau self photo, makan—"
899,ada gak si yg abis 17 an mau jalan2 sm aku gitu keliling jakarta naik mrt :( bosen di rmh aaaa
900,"RT @N_ShaniJKT48: Hari ini ada kegiatan, skrg lagi naik MRT sama ka Beby😋"
901,#mnfs ini tj atau krl atau mrt ya? https://t.co/hJkLEk1GbT
902,"@aput_adiputraa tak ah put , ni train rosak sampai kena tukar 2 station sbb mrt stuck kat pasar seni rasanya"
903,@mrtjakarta usul saja: kl bisa petugas keamanannya tambah 1 lg (jd @ 2 org tiap rangkaian mrt)
904,@anggidq Terimakasih udaj mau nemenin naik mrt wkwkwkw
905,mrt gue gaapa sih cus cheap + fast
906,"Nyobain naik MRT mulai dari Stasiun MRT Lebak Bulus sampai Stasiun MRT Bundaran HI.

20 Juli 2019 https://t.co/bCEFbq99nS"
907,"feels good to finally dijemput with my own car..,, since these past 2 weeks bolak balik gojek/grab/mrt 😢 duitku habis utk transportasi"
908,"Pak Anies, tolong buatkan trotoar dari jalan haji nawi ke jalan fatmawati raya dong. 
Pas lagi jalan ke stasiun MRT saya pernah cedera ankle nih gara2 kedhegling menghindari motor https://t.co/Tlzk5nB6NQ"
909,"@ditjetjer Mbb beeel wkwk, naik MRT dari blok m niic, tadi abis makan di daerah sana"
910,"yuk bandung kurang2in angkot yuk, perbanyak halte bis, dan bis lowdeck klo bisa jadi enak naik bisnya effortless, lrt mrt krl juga ada atulah anying:("
911,ada yang nak jemput saya kat mrt tak ? hahah
912,"anyway tadi jam 19.30an di stesyen MRT Benhil ada Kak Nunu MULUS AMAT GENGS mukanya i think he's a vampire awet muda gitu uwuwwww!!

(kenape kaga minta potopoto bareng Miss hhhh 🙄)"
913,@S_NandaJKT48 Kane sih mrt wkwkwk
914,Abis kegiatan buat #SnM trus skrg pulang naik mrt kane bgt gais sepiii wkwkwkwk
915,"RT @media_havefun: Road to Playfest 2019 menghadirkan rangkaian event kejutan music and art

https://t.co/mLmQQ4fujH

#mediahavefun #saatny…"
916,"RT @mrshananto: Gw naik mobil terus kok. Ngojek jarak dekat2. Transportasi publiknya MRT. Jd kl udara Jakarta jelek, bodo amat. Kalian yg k…"
917,@adlinahamizal Uik pelik. Mrt taman midah okay je. Cuba kau tanya kat kaunter issue tu jadi sebab apa. Maybe ada t&amp;c yang lain yg terlepas pndg atau kad tng ada masalah.
918,"@rarunax 15 minit dari mrt bukit bintang...
MRT Bukit Bintang Pintu E jalan kaki ke pavilion..."
919,"RT @cloudsjunhoe_: JANGAN BERANI BERANINYA LU GAMAKE BAJU!!!!! GUE BENER2 CUKUP SM ABS SUNGWOON, ABS JUNE, ABS JENO, JANGAN LU BEGINI LG GU…"
920,@jungpikamoncw hahaha ahh patutla mrt😂 rumet i pun pernab delay teruk.. igt tbs tadi.. btw dah naik bas belum ni??
921,pas2an ama ardhito pramono di stasiun mrt tuh gmn ya????
922,Kalo kendaraan umum sih masi sering.. Karena kadang suka males nyetir (belakangan lg sering males nyetir).. Ada TJ CL ama MRT ini.. Bisa pake eMoney.. Amaann.. Yaa sisana sambung ojol lah..
923,@adlinahamizal Syaratnya guna tng card. And kena naik mrt baru parking tu dpt potongan. Naik mrt ke stesyen pun ada potongan juga.
924,@_dianosour Ikrrrr!! Kat mrt station. Idk why thoo tah pape je nak dekat sejam tunggu
925,@AnumLoves @Mzul_Helmyy Naik basikal..pttlah lmbt..lenkali try naik mrt ok..ahakksss
926,"#jokowi2periode #01indonesiamaju #WinterIsComing : RT jokowi: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjut… https://t.co/GSzeEUPbsg"
927,@ariqalghifari11 ape indie nya naik mrt jir
928,@adlinahamizal Parkinglah kat mrt and naik mrt. Ada potongan. Parking jadi rm 4.
929,"Presiden @jokowi dan Ibu Negara Iriana Jokowi menggoreskan batik motif Gurdo atau Garuda Nusantara di area peron A stasiun MRT Bundaran HI Kamis, 1 Agustus 2019. Acara ini digelar jelang peringatan HUT ke-74 Republik Indonesia. Bagaimana kesan Presiden setelah membatik? https://t.co/ry6UllD6c4"
930,Aku bilang aja gaada terus . Setelah itu udah mau jam 10 aku bilang ayo cepat pulang nanti ga dapat mrt lagi aku. setelah itu dia ngantar aku sampe gate nya. di mrt aku curhat tu ama temen dekat aku blalalalaaa
931,"Di jakarta berasa jadi nyonya 😓 gak enak bet dah, kemana² harus dianter sopir, gk boleh naik KRL, MRT, bahkan Ojol gk boleh. Kebacut!"
932,"SYEDAPPP !!! Tapi min kenapa halte CSW ga dibuka ya ?? Padahal ada akses MRT nya juga , apakah haltenya terlalu tinggi di atas min @PT_TransJakarta https://t.co/oGFRX8zPkN"
933,"Tempo lalu aja gue sempet kaget liat @linkaja bisa buat bayar gerbang tol, dan ini gopay bisa buat transportasi (Mungkin KRL, LRT, MRT? Who knows). 

Cashless era, here we come

https://t.co/mgv6MAoKXP"
934,"Cashless in Jakarta be lyke:

Bayar TransJak &amp; MRT pake Flazz
Bayar Gojek pake Gopay
Ngopi pake debit, gak ada minimal
Bahkan jajan bakso di emperan Blok M bisa pake Gopay, dpt cashback pula!"
935,@RuwandaRP Minggu lalu kita ketemu di MRT Sudirman tolong :)
936,@jafeq gua nek mrt tiap hari tapi ga kaya kaya
937,kmrn ngerasain gimana bedanya naik mrt dan ojol pp cikini-blokm. mikirin saving cost &amp; timenya emg jauuuuh lebih mending mrt walaupun harus lebih banyak jalan.
938,Mencoba naik MRT Jakarta https://t.co/of4dPeAPa8
939,"@kang_ukki Gw pun, mulai beralih ke public transpo (sejak ada MRT) &amp; jalan kaki to n fro MRT stations  😄"
940,"RT @CNNIDdaily: Presiden @jokowi dan Ibu Negara Iriana Joko Widodo pagi (1/8) ini membatik di Stasiun MRT Bundaran HI, Jakarta dalam acara…"
941,Parking MRT utk satu hari RM 11. 11 beb 😭 tambang naik public pergi balik RM 12. Total pengangkutan RM23 satu hari. Elok bawa kereta je https://t.co/fhFsdw3ZSu
942,@guiltydumb @sikodokzuma ayok mrt here we go
943,"@tubirfess Pdhl mnrtku dgn adnya ojol dan kota yg tersedia fasilitas umum(transjakarta,mrt,dll) sdh sdkit mengurangi kendaraan pribadi.Dampak baik ojol masih terlalu bnyk dibanding negatifnya. Like it or not you need them and i dont mind for that :)"
944,@haniawaliyah Naik MRT darimana han? Mainnya jauh yaaa haha
945,"@detikfinance Hahaahaha
Klau udh jd dan hasil nya bagus.
Hrus konsisten mencela dan mengkritik loh.

Jgn saling klaim itu hasil si ini dan si itu.
Kyk MRT.kwkwkwkwkwkwkw"
946,"...bertujuan menyoroti strategi Indonesia untuk Industri 4.0 dalam mengembangkan sektor industri, pariwisata (10 Bali Baru) dan infrastruktur (perumahan, jalan tol, pengelolaan air dan MRT). #IID2019 #investasiuntukkita #InvestIndonesiaNOW"
947,"Oke sekip MRT dan busnya, lanjutt.

Disini motor dan mobil sebagian besar udah beralih ke energi listrik. Jadi mobil motornya suaranya halus dan pastinya ini upaya pemerintah buat mengurangi polusi udara.

Ini contoh motor listriknya heheh https://t.co/DUbguRrfvw"
948,"Kartu terusan naik MRT atau bus tiap kota beda-beda, jadi kalau mau pindah-pindah kota kudu diperhatiin nihhh.

Engga kaya Korea yang T-money nya bisa dipakai dari Seoul sampai Busan."
949,"Kalau naik bus bisa pakai uang cash, atau nggak pakai alipay, atau aplikasi yang dipakai masing-masing kota (beda-beda)

Kalau MRT harus beli token, atau bisa juga scan pakai aplikasi tertentu."
950,"Di kota aku MRT belum terlalu lengkap jalurnya (baru 2 jalur), tapi di kota besar kaya Beijing, Shanghai, Hangzhou, Guangzhou dan kota besar lainnya jalur MRT mereka udah lengkap dan praktis."
951,"Sarana transportasi di China sama kaya negara maju lainnya, MRT, bus, kereta api dll.

Masyarakat umumnya sih tetep punya mobil pribadi masing-masing, tapi kalau anak sekolah, kuliahan atau orang tua lebih banyak naik bus / MRT"
952,Lebak bulus MRT 😭😭😭😭😭😭😭😭 https://t.co/XemXnfcG3D
953,"@ditjetjer Lumayaan tapi tdi sebelum naik krl jg udah naik mrt, jd perjalananku cukup panjang sesunggunya wkwk"
954,"@AiraAfniAmalia @jansen_jsp @basuki_btp Sdh Selfy” ke MRT, lan jalan
Wartawannya di undang semua kmr 😅"
955,"Kerandoman hari ini again saat mau naik mrt ternyata ada jokowi didepan pintu masuk 😂 alhasil aku harus menunggu, untung gak telat wkwk"
956,"Tuh kan kalo naik mrt dari cipete tuh sepi
Enak...."
957,"@PT_TransJakarta halo, boleh share jadwal rute D31 Kuningan - Cinere? paling terakhir jam brp ya dr Kuningan? Itu kita didrop di MRT terdekat apa gimana karena kalau dr Kuningan terakhir di Menara Karya lgsg Fatmawati. Thx."
958,@noxeigs Gii gue blm pernah naik MRT lo ga berniat naik juga gitu?
959,"Masih ada kimchi pajeon yg belom dtg.. 
Segini berempat 250 ribu aja, kenyang banget!!
Recommended, deket lagi dr halte mrt benhil. 🥰🥰 https://t.co/l29oW7GeYq"
960,@herjunaw @mrt_ag Agung cah luar saiki jun
961,@ghaisaniksyfrr Kalo pake e money ya gak usah beli kartu mrt langsung aja
962,Keasikan denger lagu jadi kelewatan 1 stasiun MRT 🤦🏻‍♂️ hebat kan
963,JAKARTA INI GEDE KNP W MESTI KETEMU MANTAN D MRT SIIII 🤣🤣
964,"RT @Herlina_ogie: @Dennysiregar7 Kok mirip ma yg di Jakarta yaa Bang... 
Pas jumpa fans di MRT Gabener gak ada yg peduli .... 
Beberapa kes…"
965,"Kenapa di Jakarta masih tetep macet ya padahal busway banyak banget, mrt udah ada, kereta juga ada. Kayak gak ada bedanya gitu macetnyaaa-_-"
966,"@askmenfess Ngurutin Stasiun MRT ,, dari Blok M sampai ke Bundaran HI ,, banyakan kulinerannya sih ,, coba cek  IG nya darihaltekehalte"
967,RT @dondihananto: Oh no mbak2 UNICEF sudah mengepung stasiun MRT https://t.co/1u1xdpsIGS
968,"RT @PT_TransJakarta: Sahabat TiJe, Transjakarta mengoperasikan 4 rute Kawasan Integrasi Dukuh Atas (KIDA) yg dioperasikan sbg bentuk integr…"
969,"@freudslipper @TfJakarta @PT_TransJakarta @CommuterLine Seharusnya lagi, ada bus dari stasiun MRT Senayan, ke arah Patal Senayan. Karena di situlah wilayah hunian di sekitar Senayan. Jadi mobilitas warga jadi terjamin. 🙂 #IMHO"
970,"RT @RisKhaAmalia_: Presiden Mbatik di Stasiun MRT 
#BatikKemerdekaan https://t.co/nBnhJptjmD"
971,"@vintageeks @keruberossu NANGIS WKWKWKW sembari menabung utk KPR sudah siap ngajak menjalani kehidupan commuter makanya ucok nanti modusnya pake ""pulang ntar naik mrt yuk nyobain yang di darihalte_kehalte""

👩🏻 ""maaf aku udah subscribe paket grabbike"""
972,"RT @snjwa_: #TakWonder ada 4 size so this is the price uguys can check it out;

Small : RM 10.00
Mdium : RM 20.00
Large : RM 30.00
XtraLarg…"
973,RT @C_ArielJKT48: Sedikit cuplikan Tim J naik MRT krna tiket konser yg terjual uda 500 an lebih !! Yeyy 🥳🥳 https://t.co/drAcafWmFP
974,"asap asep asap asep
koentjinya adalah:

1. kesejahteraan tiap daerah gak merata, perbandingan gaji di Jakarta sama di daerah anjlok bgt

2. udahan yuk naik mobilnya ke kantor kalo cuma sendirian doang mah. public transport udah banyak pilihan: KRL, MRT, busway, ojol. bisa koook"
975,Pengen cobain naik mrt tp jauh bgt si bikin mager dan gak punya tujuan juga 😆
976,Halte yg terintegrasi sm mrt langsung halte apa aja ya min ? @PT_TransJakarta
977,"Udah diniatin maen ke PI terus nyobain MRT.
.
Yaudah jalan-jalan, muter-muter mall dulu. Keluar mall, pesen gocar.
.
Pas di jalan kok asa ada yang kayak kurang. Dipikir lama gatau apaan ternyata lupa naik MRT-nya booosss. 😑😑"
978,"Presiden @jokowi dan Ibu Negara Iriana Joko Widodo pagi (1/8) ini membatik di Stasiun MRT Bundaran HI, Jakarta dalam acara ""Batik Kemerdekaan"". Jokowi mengatakan, membatik butuh kesabaran dan ketenangan.

#CNNIDViral
https://t.co/ns6OyEyJew https://t.co/vwP0SzxlA2"
979,Ketinggalan sedetik doang naik MRT nyebelin dah
980,Cara naik mrt gimana ya kalo pake e money bisa ga sih
981,@FANBASESYG Ayuuuuk.. menemani di mrt
982,@sxripr_ Ngaatauu pokona itu ak abis naik mrt
983,"@10suh_ kalo mau ke orchard dari changi naik mrt emg gituu, harus transfer keretanya.. itu bener kok kyknya rute nya.. ke line ijo dlu baru abis itu merah.."
984,"@TfJakarta @PT_TransJakarta @CommuterLine @DKIJakarta Selama ini kalo mau ke senoParty naik busway/mrt harus berhenti di senayan terus naik ojol. Mumpung ada rencana trotoar mau dilebarin, seharusnya didukung dengan adanya bus. Nah senopati seharusnya bs dilayanin TJ bus dek rendah kaya GR1. https://t.co/fBAcOnmFSD"
985,"@eunikemhy Wkwkwk iyaa dipanggil Elder
Orangnya ramah. Tanya udah lama di Jakarta? pernah naik MRT? Nanti turun di mana? Gitu2
Bahkan gerejanya di sebelah SMAku wkwkwk"
986,"@rehuellahangela Di bangkok gak pernah nyentuh taxi/grab krn pakai MRT bisa kemana2. Kalau jauh dikit dan keliatan macet di maps, jalan kaki malah lebih cepet"
987,"Kalo kerjanya emang butuh mobilitas tinggi atau rute rumah-kantornya ga terjangkau TJ/commuter/MRT okelah. Tapi kalo alasan biar terpandang, biar orang tau kalo dia kaya, biar dilirik cewek, itu tolong ditenggelamkan saja"
988,@Gerindra Pertemuan MRT dan teuku umar jadi bukti bahwa jangan lagi jadikan rakyat kecil sebagai tameng
989,"@askmenfess Filosofi kopi deket stasiun mrt blok m , kopi kalyan , woodpecker coffee"
990,"@Allegria0313 @unmyunga Subway gunain lagi.....
Klo sisa 500nt cukup kok kak buat 2 harian.....naik MRT."
991,Mau mengandalkan MRT Jakarta sebagai sarana transportasi kamu bekerja? Simak dulu plus dan minusnya dalam ulasan berikut! https://t.co/bgZmSfuYeS
992,@ismamaw mrt gajadi smpe tangerang wq hanya wacana semata
993,RT @MotivasiIlmu: Dalam kehidupan ini kita tidak dapat selalu melakukan hal yang besar. Tetapi kita dapat melakukan banyak hal kecil dengan…
994,"1. YAWWWW STARTING AUGUST WITH HAPPY DAYYYYYYYY

Nyobain naik MRT, tiba tiba random bgt pd ngajakin naik MRT 

terus sampe disana as always, KULINERANNN YUHUUU BABAY DIETTT"
995,"RT @tysagstn: tunjukan kalau kamu memang jatuh cinta sama dia, jangan takut. Don’t stop flirting. Jadikan dirimu potential girlfriend dan w…"
996,sumpah geblek bgt dha w segala salah pilih pintu keluar mrt hadeuh terombang-ambing di antah-berantah
997,Kenapa pusingan naik mrt depd naik pesawat/kapal?🤢🤢🤢🤢
998,"@Lutfisalims nah itu dia, di singapore bahkan banyak ibu2/opa2 masih kerja jaga mrt, sedangkan di Indo masalah ngelamar kerjaan lah pake max umur, penampilan menarik dsb.. wtf"
999,"Selama di bkk kmn2 naik apa? 
Oh jelas pake city bus dong hehe yg pastinya murah. Kisaran 6-15thb sajaa. Gw gasanggup bayar kalo naik mrt disana haha soalnya mahal. Naik bis juga gamoang kok"
1000,"TJ dan MRT sangat sangat tepat dipilih kalo ke/dari Sudirman-Thamrin. Dari bus jadi pengen dadah-dadah ke yang kena macet sambil bilang, ""Duluan ya, sobat cicilan"""
1001,"@cakimiNOW yg nebangin puun n bangun MRT,  pd pemerintahan siapa ya?"
1002,"nyobain naik MRT..

#Canon #CanonEOSM50 #EOSM50

https://t.co/sPJWiL2YEg"
1003,Uji coba Mass Rapid Transit (MRT) yang dilaksanakan pada hari ini Selasa (12/3) mendapat respon positif sejumlah penumpang. Bahkan para penumpang mengaku kagum dengan fasilitas MRT yang disediakan. #2019JokowiKyaiMaruf https://t.co/plWfTHt4Pp
1004,"Akhirnya setelah sekian lama.... Era baru transportasi publik di Indonesia menjadi kenyataan Dalam era pemerintahan jokowi kita punya MRT, tidak kalah dgn Singapore, loh gaes !! Ayoo naek MRT....siapa hendak turun... #Jokowi2Periode #Jokowi2Periode"
1005,Td kepikiran masang di stasiun mrt tp malu bgt kyk pasti ada tmn2 kerabat sanak saudara yg liat hidih
1006,"@yeoubibom Kalo naik gojek pintu 5 ka kalo gasalah... 
Kalo naik mrt pintu 7"
1007,Jadi manusia tuh jangan berasa paling bener lah? HERAN. Ngaca dong lo sok-sok snapgram AQI 180+ pada kenyataannya the only time you walked this year is when you want to ride MRT for the sake of your Instastory content.
1008,"kenapa intonasi si announcernya MRT pas bilang :

🇮🇩 Lebak Bulus Grab
🇬🇧 Lebak Bulus Grab

bedaaaa :D"
1009,@harvditger MRT sudah paling bener siy 😅
1010,"RT @ZAfqh: Detail handphone 
Model: Pocophone F1 6gb ram 64gb rom with liquid cooling condition 9/10 (Phone Sahaja)
Harga : RM900
Warranty:…"
1011,@Zhrkarenina iyaa ini mo bobo sist btw anw u masi sibukz rapat nda?aq ma bunda mo naik mrt:(
1012,@officialJKT48 Video @_JKT48TeamJ naek mrt ga diaplod min?
1013,Pamitnya naik MRT https://t.co/qyuBD7Cwzo
1014,@dhikeyyy Deket naik mrt aja😊
1015,RT @andienas: Lo boleh bangga lo bisa naik MRT kemana-mana. PRIVILEGE. Untung aja rumah lo dekat stasiun dan kantor lo di jalur MRT. Kalo y…
1016,"DI JUAL RUMAH KOS 

Dijual Rumah Kos , Luas tanah 350 m2 , SHM , Luas bangunan 300 m2 , ada 26 kamar kos ,terisi semua , harga 10 M Nego..

Jl.Lebak Bulus Raya  Jakrta Selatan. 150 meter dari tol kartini /mrt
Ukuran panjang 35 meter , lebar 11 meter
081289550571☎ https://t.co/IRCYupfuTq"
1017,RT @savicali: Di Eropa kalo kretanya gi di bawah tanah sinyal hape ilang. Di Jkt sinyal hape tetap connect meski MRT sdg di jalur bawah tan…
1018,@DianOnno Aku kirain pake mrt. Edan banget! Nyampe?
1019,"pak @jokowi , bikinin MRT di Jl. Warung Buncit dong... saya lelah mengemudi kemana2 😭🤣"
1020,"@mrtjakarta masinis mrt Istora ke Lb Bulus jam 19.11 d kereta dgn nomer K1 1 18 24 ngeremnya ndut2an sepanjang jalan, jd kasian yg berdiri pada kaget mau jatuh. Semoga bs d perbaiki. Tks"
1021,Aku sumpah tengah tahan nak nyanyi ni dalam MRT https://t.co/VAZUxm0fYA
1022,"@herjunaw Inggih, pripun mas juna?? Wkwk"
1023,Mantep uga lift mrt haji nawi skg disetelin beethoven
1024,AMPE SALAH NAIK PERON MRT GWA https://t.co/CNskh9KSyf
1025,@makmummasjid Kalo jajan rumah di kawasan mrt ga pake mikir.
1026,Selalu bingung ketika mau nulis captions. Lebih sulit bikin caption ketimbang ngedit poto 🤭 @ Stasiun MRT Dukuh Atas https://t.co/P2nVWfL2Mr
1027,Speed Indosat di stasiun MRT Setiabudi Astra. Lumayan juga padahal jauh di bawah tanah letaknya https://t.co/2YcKEhRcqt
1028,Di Eropa kalo kretanya gi di bawah tanah sinyal hape ilang. Di Jkt sinyal hape tetap connect meski MRT sdg di jalur bawah tanah. Top.
1029,@Turuannn @m_ribhi Habis naik mrt mas hehehe
1030,RT @IkmalAz: Hati2 la naik MRT esp girls tu . Babi aku yang lelaki pun dia boleh ajak sembang seks
1031,Apa cuma gue yang blm pernah naik MRT wkwk😂
1032,@m_ribhi @funcyhuny Mbakkknya habis/mau naik mrt kah? Hehehe
1033,"RT @qu_laila: agreed , sesekali g kl naik lrt/ mrt menapak jauh x de safety langsung cth lorong pejalan kaki area pudurya tu ☹️so scaring h…"
1034,@khairunnisaats Nah iya buru2 dah tuh mrt sampe bekasi biar gue gacape transit di Manggarai nya
1035,Besok sore pulang ngampus aku mau naik MRT yuhu kyk norak bgt tapi mrt tuh keren jd berasa org modis hwhwh. W sukak bats
1036,@srynamy Wowww. Tapi naik mrt senang.
1037,"RT @ninhosdt: Oh ma Guapa 🤟🏿
@hoscopperfield https://t.co/bfJkaM3jZI"
1038,"@mrt_ag tak kiro wong luar, jebul koe to gung wkwk"
1039,@sunitizers DAFUQ? YOU BITCHHHH! NAK AJAK GADUH KE NI HAHAHAHAHA. SABAR EHH. AKU DUK DLM MRT NI LAGI. NI AKU CARI KANG SIAPA BUDAK NI. BAPAK BANA
1040,"terlepas MRT station. shit laaa, dh la penat"
1041,ah ni part drg boleh diri berjam jam nnti kat mrt nk stare2 cz tak bagi seat https://t.co/EqIX3P4aSw
1042,"Di bulan kemerdekaan Indonesia agustus ini, Presiden Joko Widodo dan Ibu Negara Iriana Joko Widodo membatik dalam kegiatan goresan batik kemerdekaan yang digelar di MRT, Bundaran HI, Jakarta kamis pagi kemarin. #PrimeTimeNews @Metro_TV https://t.co/TfPU3dTq0q https://t.co/prUoR7JxKn"
1043,"RT @gipacksaputra: mrt ya mrt.
macet mah tetep aja macet."
1044,"@tony_rmm Dirut TJ dan MRT naek angkutan umum kok. Yang TJ naek MRT Jakarta, satunya naek KCI (dulu), mungkin sekarang naik MRT juga. :))"
1045,"I'm at Rapidkl: Mrt Feeder Bus T817 in Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur https://t.co/JSMBRCJxmo"
1046,"I'm at MRT Pusat Bandar Damansara (Pintu A) - @askrapidkl in Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur https://t.co/fuRN5tRXIs"
1047,"""DEMONIC NOISES"": AGKPHGOHGU£¥^€¥ https://t.co/nm6dNLsCwb"
1048,"@MyRapidKL Mohon semak masa lampu merah susur keluar dari MRT Kwasa Sentral, msh tiada perubahan, Q hampir 1km, lps hanya 3-4 kenderaan..mslh tiada kesudahan, hrp staff MRT KS tidak dibuai mimpi tak prihatin."
1049,I'm at RapidKL Pavilion Damansara Heights-Pusat Bandar Damansara (SBK13) MRT Station - @myrapidkl in Kuala Lumpur https://t.co/Pq4WUIkr3m
1050,@woochanho NAik kereta kakk ke sudirman bisaa trs naik mrt dri setiabudi astra turun di haji ngawi kalogasala bisaa
1051,"@tony_rmm Iya, itu sebenarnya warna desain inline dengan signage2 yang ada sekarang. Mirip2 antara birunya TJ, KCI dan MRT yang biru tua."
1052,@faniafdlh hahaha ga sibuuuk aku nganggur😂😂 kalo kemarin emg ngurus berkas kelengkapan gituu di kampuus wkwk kalo hari ini diajak naik mrt 😂😂
1053,I'm at Stasiun MRT Blok A https://t.co/zvoBFzpwfI
1054,I know im dumb dumb wey tk bawak TnG tapi nak naik bus mrt hmm this girl nak gelakkan aku sbb aku bayar cash instead i got free 😉
1055,"mrt ya mrt.
macet mah tetep aja macet."
1056,Oh no mbak2 UNICEF sudah mengepung stasiun MRT https://t.co/1u1xdpsIGS
1057,"Mal Tua yang Kembali Berjaya Setelah Dilintasi MRT #TrenKompasiana 

https://t.co/0fGwARQfKS"
1058,Abis ketemu orang koriya nanyain mrt. Tp bahasa inggrisnya bagus yaudah ngobrol.
1059,"agreed , sesekali g kl naik lrt/ mrt menapak jauh x de safety langsung cth lorong pejalan kaki area pudurya tu ☹️so scaring https://t.co/AzFGljtLsp"
1060,asli capek banget minggu ini bolak balik kampus naik motor -&gt; krl -&gt; mrt -&gt; angkot🤯 https://t.co/MVqt2yAqJM
1061,Pulang kerja lagi pengen shillin.. jalan santuy aja tinggal naik mrt sampe deh ketemu shillin😋 https://t.co/99vBtLsikN
1062,"RT @mrtjakarta: Jadi bagi teman MRT jangan pernah sungkan untuk bertanya untuk mendapat informasi, meminta bantuan dan melapor kepada petug…"
1063,"I'm at Stasiun MRT Bendungan Hilir in Setiabudi, Jakarta https://t.co/mNZXR48Uaz"
1064,boleh ke bawak skate dalam mrt hahahahhaa segan la pula
1065,"Min @PT_TransJakarta. Bolehkah RoyalTrans menaikkan penumpang bukan di halte? Ini di pintu exit A MRT Istora Mandiri (Depan GBK) . 
Nomor bus jelas ya.. tujuan Cibubur https://t.co/Qu5l1a2opE"
1066,nangis di mrt wkwk ok aku sudah gila
1067,"[ FOTO EKSKLUSIF ]
(2/2)

Penari Cilik Yayasan Belantara Budaya Indonesia 🇲🇨
Menyambut Bapak Jokowi &amp; Ibu Iriana dalam acara ""Goresan Batik Kemerdekaan"" di Stasiun MRT Bundaran HI

#Indonesia #CintaIndonesia
#BelantaraBudayaIndonesia
#BhinnekaTunggalIka https://t.co/UiOvSHFhmf"
1068,"[ FOTO EKSKLUSIF ]

Penari Cilik Yayasan Belantara Budaya Indonesia 🇲🇨
Menyambut Bapak Jokowi &amp; Ibu Iriana dalam acara ""Goresan Batik Kemerdekaan"" di Stasiun MRT Bundaran HI

#Indonesia #CintaIndonesia
#BelantaraBudayaIndonesia
#BhinnekaTunggalIka

[ Thread ] https://t.co/Ma6aqPyneJ"
1069,Tadi syok sangat duk sedut pearl milk tea sampai tersedak aku. Malu doh dah laa dekat mrt station lepastu ada laa makhluk duk gelakkan aku 😫
1070,"@detikcom Kalo berfikir linear, maka MRT juga tidak akan pernah dibangun....nyatanya?? Pemimpin itu perlu visi yang kuat dan sedikitnya punya jiwa entepreneurship untuk maju."
1071,@rumahpohon23 @Demon_of_Hares @cakimiNOW Ooh... yg baik dan bisa ditiru dari JKW  itu MRT dan anak aekolah tetap bayar SPP ya? Baru tau saya... 😀😂🤣
1072,@AskRapidKL hi bas 780 kota damansara atau 802 lrt klana jaya ad kt mana skrg? Lokasi mnungu mrt mutiara dmnsara...
1073,"Senangnya dikelilingi cowok cowok pas naik MRT , berasa paling cantik , padahal ni muka udah berminyak buluk banget kalo ngaca 😞"
1074,RT @CNNIndonesia: Jokowi dan Iriana Membatik Gurdo di Stasiun MRT Bundaran HI https://t.co/zeKANl2rTs
1075,Jungkook 🤤
1076,"Hey vin, hey ka.. 
Ini yg tadi ketemu di MRT wkwk @Viny_JKT48 :)"
1077,"kalau dapat universiti yang bas rapid kl masuk situ, korang mohon lah kad rapid untuk student. pergi mana mana harga jadi less 50%. contoh: bas rapid itself, ktm, lrt, mrt. https://t.co/p2c6RiRqP0"
1078,@DwiFauziahZ1 Pingin naik mrt wii😭 wkwk kampung emang w
1079,@kacamataputih Mau ka memanggil tp keburu masuk mi ko ke mrt 😅
1080,@mmdsjh Bazyar😂😂brd fqt pm mide
1081,"@alfinamiruddin @Demon_of_Hares @cakimiNOW Ga mudik kemarin? Ga pernah naik MRT? Anak Sekolah negeri di DKI masih bayar SPP? 
Itu hasil anies ya?"
1082,"RT NikenSabila_: Presiden Mbatik di Stasiun MRT

Farah Abimanyu (Postgraduate York University)

https://t.co/Ycf4Rc3Muq"
1083,"@tikahsn Yes, visa paywavenya juga bisa buat mrt"
1084,"@MarikaRahman_ @Matahatikoe_ @aniesbaswedan @jokowi Dia naik MRT untuk pencitraan, lah wong cuma sekali dua kali kok dibilang nyontohin."
1085,Siapa yang bau macam ikan bilis dalam mrt ni woii
1086,"Comel je husband and wife ni naik mrt bawak anak dia sekali. Mak ayah kan. Sayang dia kat anak tu, sanggup tak duduk. Bagi anak yg duduk. Dah la comel budak tu! Pastu ayah dia main dgn anak dia. “Helloo. Buat apa tu” “Assalamualaikum”. Halah halah fatherly nya."
1087,@AskRapidKL mcm slow ke mrt arini 🙋‍♂️
1088,"#Sambut Bulan Kemerdekaan, Jokowi Membatik di Stasiun MRT - Detiknews https://t.co/aiy6EQa0gx #Berita #Jokowi #Indonesia"
1089,"#Jelang HUT RI, Presiden Jokowi Membatik di Stasiun MRT - https://t.co/9BssbiTBAu https://t.co/cTxQZBLev1 #Berita #Jokowi #Indonesia"
