,0,1
1048,10470,"""DEMONIC NOISES"": AGKPHGOHGU£¥^€¥ https://t.co/nm6dNLsCwb"
1049,10480,"@MyRapidKL Mohon semak masa lampu merah susur keluar dari MRT Kwasa Sentral, msh tiada perubahan, Q hampir 1km, lps hanya 3-4 kenderaan..mslh tiada kesudahan, hrp staff MRT KS tidak dibuai mimpi tak prihatin."
1050,10490,I'm at RapidKL Pavilion Damansara Heights-Pusat Bandar Damansara (SBK13) MRT Station - @myrapidkl in Kuala Lumpur https://t.co/Pq4WUIkr3m
1051,10500,@woochanho NAik kereta kakk ke sudirman bisaa trs naik mrt dri setiabudi astra turun di haji ngawi kalogasala bisaa
1052,10510,"@tony_rmm Iya, itu sebenarnya warna desain inline dengan signage2 yang ada sekarang. Mirip2 antara birunya TJ, KCI dan MRT yang biru tua."
1053,10520,@faniafdlh hahaha ga sibuuuk aku nganggur😂😂 kalo kemarin emg ngurus berkas kelengkapan gituu di kampuus wkwk kalo hari ini diajak naik mrt 😂😂
1054,10530,I'm at Stasiun MRT Blok A https://t.co/zvoBFzpwfI
1055,10540,I know im dumb dumb wey tk bawak TnG tapi nak naik bus mrt hmm this girl nak gelakkan aku sbb aku bayar cash instead i got free 😉
1056,10550,"mrt ya mrt.
macet mah tetep aja macet."
1057,10560,Oh no mbak2 UNICEF sudah mengepung stasiun MRT https://t.co/1u1xdpsIGS
1058,10570,"Mal Tua yang Kembali Berjaya Setelah Dilintasi MRT #TrenKompasiana 

https://t.co/0fGwARQfKS"
1059,10580,Abis ketemu orang koriya nanyain mrt. Tp bahasa inggrisnya bagus yaudah ngobrol.
1060,10590,"agreed , sesekali g kl naik lrt/ mrt menapak jauh x de safety langsung cth lorong pejalan kaki area pudurya tu ☹️so scaring https://t.co/AzFGljtLsp"
1061,10600,asli capek banget minggu ini bolak balik kampus naik motor -&gt; krl -&gt; mrt -&gt; angkot🤯 https://t.co/MVqt2yAqJM
1062,10610,Pulang kerja lagi pengen shillin.. jalan santuy aja tinggal naik mrt sampe deh ketemu shillin😋 https://t.co/99vBtLsikN
1063,10620,"RT @mrtjakarta: Jadi bagi teman MRT jangan pernah sungkan untuk bertanya untuk mendapat informasi, meminta bantuan dan melapor kepada petug…"
1064,10630,"I'm at Stasiun MRT Bendungan Hilir in Setiabudi, Jakarta https://t.co/mNZXR48Uaz"
1065,10640,boleh ke bawak skate dalam mrt hahahahhaa segan la pula
1066,10650,"Min @PT_TransJakarta. Bolehkah RoyalTrans menaikkan penumpang bukan di halte? Ini di pintu exit A MRT Istora Mandiri (Depan GBK) . 
Nomor bus jelas ya.. tujuan Cibubur https://t.co/Qu5l1a2opE"
1067,10660,nangis di mrt wkwk ok aku sudah gila
1068,10670,"[ FOTO EKSKLUSIF ]
(2/2)

Penari Cilik Yayasan Belantara Budaya Indonesia 🇲🇨
Menyambut Bapak Jokowi &amp; Ibu Iriana dalam acara ""Goresan Batik Kemerdekaan"" di Stasiun MRT Bundaran HI

#Indonesia #CintaIndonesia
#BelantaraBudayaIndonesia
#BhinnekaTunggalIka https://t.co/UiOvSHFhmf"
1069,10680,"[ FOTO EKSKLUSIF ]

Penari Cilik Yayasan Belantara Budaya Indonesia 🇲🇨
Menyambut Bapak Jokowi &amp; Ibu Iriana dalam acara ""Goresan Batik Kemerdekaan"" di Stasiun MRT Bundaran HI

#Indonesia #CintaIndonesia
#BelantaraBudayaIndonesia
#BhinnekaTunggalIka

[ Thread ] https://t.co/Ma6aqPyneJ"
1070,10690,Tadi syok sangat duk sedut pearl milk tea sampai tersedak aku. Malu doh dah laa dekat mrt station lepastu ada laa makhluk duk gelakkan aku 😫
1071,10700,"@detikcom Kalo berfikir linear, maka MRT juga tidak akan pernah dibangun....nyatanya?? Pemimpin itu perlu visi yang kuat dan sedikitnya punya jiwa entepreneurship untuk maju."
1072,10710,@rumahpohon23 @Demon_of_Hares @cakimiNOW Ooh... yg baik dan bisa ditiru dari JKW  itu MRT dan anak aekolah tetap bayar SPP ya? Baru tau saya... 😀😂🤣
1073,10720,@AskRapidKL hi bas 780 kota damansara atau 802 lrt klana jaya ad kt mana skrg? Lokasi mnungu mrt mutiara dmnsara...
1074,10730,"Senangnya dikelilingi cowok cowok pas naik MRT , berasa paling cantik , padahal ni muka udah berminyak buluk banget kalo ngaca 😞"
1075,10740,RT @CNNIndonesia: Jokowi dan Iriana Membatik Gurdo di Stasiun MRT Bundaran HI https://t.co/zeKANl2rTs
1076,10750,Jungkook 🤤
1077,10760,"Hey vin, hey ka.. 
Ini yg tadi ketemu di MRT wkwk @Viny_JKT48 :)"
1078,10770,"kalau dapat universiti yang bas rapid kl masuk situ, korang mohon lah kad rapid untuk student. pergi mana mana harga jadi less 50%. contoh: bas rapid itself, ktm, lrt, mrt. https://t.co/p2c6RiRqP0"
1079,10780,@DwiFauziahZ1 Pingin naik mrt wii😭 wkwk kampung emang w
1080,10790,@kacamataputih Mau ka memanggil tp keburu masuk mi ko ke mrt 😅
1081,10800,@mmdsjh Bazyar😂😂brd fqt pm mide
1082,10810,"@alfinamiruddin @Demon_of_Hares @cakimiNOW Ga mudik kemarin? Ga pernah naik MRT? Anak Sekolah negeri di DKI masih bayar SPP? 
Itu hasil anies ya?"
1083,10820,"RT NikenSabila_: Presiden Mbatik di Stasiun MRT

Farah Abimanyu (Postgraduate York University)

https://t.co/Ycf4Rc3Muq"
1084,10830,"@tikahsn Yes, visa paywavenya juga bisa buat mrt"
1085,10840,"@MarikaRahman_ @Matahatikoe_ @aniesbaswedan @jokowi Dia naik MRT untuk pencitraan, lah wong cuma sekali dua kali kok dibilang nyontohin."
1086,10850,Siapa yang bau macam ikan bilis dalam mrt ni woii
1087,10860,"Comel je husband and wife ni naik mrt bawak anak dia sekali. Mak ayah kan. Sayang dia kat anak tu, sanggup tak duduk. Bagi anak yg duduk. Dah la comel budak tu! Pastu ayah dia main dgn anak dia. “Helloo. Buat apa tu” “Assalamualaikum”. Halah halah fatherly nya."
1088,10870,@AskRapidKL mcm slow ke mrt arini 🙋‍♂️
1089,10880,"#Sambut Bulan Kemerdekaan, Jokowi Membatik di Stasiun MRT - Detiknews https://t.co/aiy6EQa0gx #Berita #Jokowi #Indonesia"
1090,10890,"#Jelang HUT RI, Presiden Jokowi Membatik di Stasiun MRT - https://t.co/9BssbiTBAu https://t.co/cTxQZBLev1 #Berita #Jokowi #Indonesia"
1091,10900,Presiden Joko Widodo dan Ibu Iriana menorehkan pembuatan batik 74 meter dari 74 maestro batik Indonesia di acara “Batik Kemerdekaan“ di Stasiun MRT Bundaran HI. Acara ini dengan bangga diinisiasi oleh teman2 dari... https://t.co/1vNqvkbZ91
1092,10910,"Mungkin ga sih kalo pas idle begini mesin mati tapi running text rute masih nyala? Jadi walaupun kendaraan umum lumayanlah makin mengurangi bahan bakar terpakai. Btw langitnya syahdu sekali dari sini, apalagi tadi pas di platform mrt. https://t.co/1nyLBNAvdQ"
1093,10920,@_asyrafdanial jap ni mrt route baru ke
1094,10930,Pagi2 pon tren rosak. Tunggu sampai 15 minit paling lama pon 30 minit. Mrt tu dikira upgrade la jugak tpi makin lama masalah tu jdi jugak https://t.co/O5WpdTLuSG
1095,10940,RT @BreRedana: MRT yang luar biasa. Jelas ini kelanjutan modernisasi Eropa pada zamannya. Mudah2an ayat ayat agama mengurapinya. Bukan meng…
1096,10950,MRT lewat monas ya ntar? https://t.co/TnUfSAZcNn
1097,10960,@drhaltekehalte kalo mau minta kedainya diliput gmn caranya? kedai saya dekat dengan MRT haji nawi
1098,10970,Sampai mrt baru sedar ha ha ha
1099,10980,"@NrSbrinaRshid @husnazmn @zidanielzikrii zi, hus, nkita nak gerak macam mana? mrt? ktm? kereta? basikal? jalan kaki?"
1100,10990,@adm_mrt joooon😂😂ya brd ya baziar
1101,11000,"From @setkabgoid

Presiden Joko Widodo didampingi Ibu Negara Iriana Joko Widodo menghadiri acara Goresan Batik Kemerdekaan, di Beranda Peron A Stasiun Moda Raya Terpadu (MRT) Bundaran Hotel Indonesia, Jakarta, Kamis… https://t.co/CwxJPHBsro"
1102,11010,Mrt mesti kosong gak haihhhh sendirian
1103,11020,@TheUsopIbrahim Naik mrt to kajang Rm 10 one way pergi balik dah rm20 lepastu nak ke stesen tu kene naik grab pulak huhuhu
1104,11030,Ambik daddy kat MRT pulak. https://t.co/9piZeC6kmK
1105,11040,Akhirnya seseorang tweet hal ini. Aku ni selalu je report masalah ktm dkat twitter. Call pun ada. Tapi yelaahh.. Tgh naik taraf kaann.. Kalau bas mrt? Setakat sg buloh la pusingnya. Mana nak masuk rawang. Yg rawang terkinja2 la ambil SJ bas yg dah luput ditelan zaman. Puih https://t.co/MoJgMuqYYl
1106,11050,"@NTMCLantasPolri pak/bu lapor dong, di daerah blok M dekat MRT barusan ada metro mini penuh ank2 muda tanggung smpe naik2 di atas, trs salah satunya turun, coret2 tembok saya ga ngeh itu gedung apa"
1107,11060,Kuat bau ketiak dalam mrt ni
1108,11070,hai min apakah boleh menggambil gambar di area stasiun stasiun MRT atau harus minta izin dulu terlebih dahulu (@mrtjakarta)
1109,11080,"Lalu gue kudu pikirin lebih cepet naik motor atau MRT supaya kira-kira bisa sampai rumah di waktu yang gue tentukan agar masih bisa main sama acadut, dan nggak ngelewatin waktu ngelonin doi which is jam 7.30."
1110,11090,@AskRapidKL  train mrt semerbak bau durian 😂
1111,11100,"@trimurnip Ya gapapa, jadi monumen aja sekalian di stasiun mrt kak"
1112,11110,"RT @GNFI: Meski Masih Lama, Surabaya akan Bangun MRT atau LRT | Good News from Indonesia https://t.co/8Jlnsny72E"
1113,11120,RT @SINDOnews: Presiden Jokowi Hadiri Acara Batik Kemerdekaan di Stasiun MRT https://t.co/mVcMFOEOpG
1114,11130,"Detik-detik Jokowi &amp; Iriana Membatik Gurdo Nusantara di MRT

Presiden Joko Widodo dan Ibu Negara Iriana Jokowi menggoreskan batik motif Gurdo atau Garuda Nusantara di area peron A stasiun MRT Bundaran HI Kamis, 1 Agustus 2019 https://t.co/HxsDJPvkyw"
1115,11140,Presiden Jokowi Hadiri Acara Batik Kemerdekaan di Stasiun MRT https://t.co/mVcMFOEOpG
1116,11150,"Dari bangun pagi, gue menghitung waktu bersiap2 dan main2 sebentar sama acadut supaya bisa paling ngga naik MRT yang jam 8.31, karena maksimal sampai kantor jam 9.05"
1117,11160,"Jadi bagi teman MRT jangan pernah sungkan untuk bertanya untuk mendapat informasi, meminta bantuan dan melapor kepada petugas di kereta jika terdapat hal-hal yang mengganggu kenyamanan dan keamanan di kereta.
#MRTJakarta
#UbahJakarta
#JelajahiJakarta https://t.co/MDWK9xHelR"
1118,11170,"Pada setiap perjalanan di dalam kereta MRT Jakarta, para masinis dibantu oleh para petugas keamanan untuk membantu para penumpang agar merasa aman dan nyaman di dalam kereta. https://t.co/3dPe6zKuSE"
1119,11180,"@AskRapidKL ...ada penumpang bawa masuk durian dalam MRT. train no. 1224. 😷😷😷
Btw, I am durian lover, tapi kalau bau dlm train camni, pening betul."
1120,11190,RT @Amal_Alghozali: Nyoh joget sing tertib. Merayakan acara Pak Prabowo Menghadap Presiden di Stasiun MRT. https://t.co/21UgncCinP
1121,11200,@m_adibabdullah @TheUsopIbrahim ktm serdang parking bertingkat. and tiada mrt ye dkt situ. sekian
1122,11210,mrt da lah sempit gile babi tu pon nak pda
1123,11220,[VIDEO] Momen Jokowi dan Iriana Membatik Gurdo Nusantara di MRT https://t.co/mtNSexJtCj https://t.co/Nx76ffVFGC
1124,11230,Nyobain MRT. #MRT https://t.co/bvLw5ZRbSd
1125,11240,"Cast ‘Gundala’ Bikin Heboh di MRT Dukuh Atas, Langsung Diajak Selfie Banyak Orang

https://t.co/mt1yJwptHH"
1126,11250,"Gw baca tweet lu jawabin data kok lu jawab normatif semua ya?
Pake data buat adu data
Gausah kmna2 juga. Keliatan banget lo cuma pgn salahin Anies sih.
PLTU itu kebijakan pusat. Terus lo blg buat apa punya Gubernur? Yg ada buat apa punya Presiden kalo kerjanya cm bolak balik MRT https://t.co/VOqBxsER8A"
1127,11260,Mrt seats ni bukan krg dua punya je eh tlg
1128,11270,"Taman Pertama towards Taman Mutiara MRT Sungai Buloh–Kajang line, Kuala Lumpur, Malaysia (05252) https://t.co/dFnrLF25xj https://t.co/fooeH0AuH8"
1129,11280,"RT @komuterid: Permasalahan first dan last mile ini belum menemukan solusi yang lebih efektif. Ongkos kereta CommuterLine murah, MRT Jakart…"
1130,11290,@trimurnip Blm pernah naik MRT
1131,11300,"geeeeeeeeeng kalo mau naik MRT gimana si? langsung dateng ke st nya aja apa gimana?

hari ini mau ke daerah sudirman, ada yg daerah sana gaa? ketemu yok"
1132,11310,"Aku lagi suka nungguin kereta MRT sambil dengerin lagu barunya Noah, yang judulnya Zigi Zaga."
1133,11320,Naik Commuter dan MRT tuh membuat banyak referensi ootd ngantor loh wkwk
1134,11330,"I'm at RapidKL Pasar Seni (SBK16) MRT Station - @myrapidkl in Kuala Lumpur, 吉隆坡 https://t.co/PYFmVYuUIf"
1135,11340,Jokowi Membatik di Stasiun MRT Dalam Rangka HUT ke-74 RI https://t.co/4POZOkgRXC https://t.co/CjTkNYmgME
1136,11350,"Rangkaian HUT ke-74 RI, Jokowi dan Iriana Ikut Membatik di Stasiun MRT

https://t.co/uZb8DWwSPk"
1137,11360,RT @arifssasmita: @giewahyudi Tikungan kendal blora ini udah dibikin rapi dan bagus mendukung mrt dan transport umum busway juga. Tetep aja…
1138,11370,"@tan_markonah Layanan public sdh bagus kok ..ada LRT,MRT,Transjkt, Commuter. End!"
1139,11380,"Buat duduk di mrt skrg tuh kudu ati-ati banget, soalnya sarang hujatan para sjw https://t.co/1rHwrsoVm5"
1140,11390,"RT @DoniRiw: KITA PUNYA APA?
.
© Doni Riw
.
Di permukaan, seolah kita punya segalanya. Punya unicorn, punya jalan tol, punya mrt, punya tam…"
1141,11400,"Terima kasih Bapak @jokowi dan Ibu Iriana Joko Widodo, terima kasih...
•
#Repost from @jokowi (repost_media_app)
Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di salah satu peron Stasiun MRT… https://t.co/KeuUq7D7Bw"
1142,11410,"RT @Ronggolawe2P: Menyambut bulan kemerdekaan , Pesiden Jokowi dan Ibu Iriana turut meramaikan membatik kain sepanjang 74 meter di stasiun…"
1143,11420,"mrt shhoor b'3yabk w enta fe bali ashtag shofk w b3dk ma tmnaita 
'3aibatk ya roo7 roo7i 34bat 7ali💙💙 — Allaaahhh allaah https://t.co/ZgpxtDBiMq"
1144,11430,Siapa yg nanti daerah rumahnya kelewatan jalur MRT? https://t.co/i9MetX1fbn
1145,11440,"Yuk naik MRT Jakarta dan jngn lupa simpan Single Trip Ticket &amp; juga struk pembelian tiketmu. Trn di stasiun Cipete Raya, mampir ke outlet Nasi Jeruk Tanggal Tua dan dapatkan Gratis Kopi Lima Detik untuk setiap pembelian menu NJTT. Periode promo hingga 24 Agustus 2019.⠀ https://t.co/FF5p9kcxY4"
1146,11450,"Kalau sy ikut mrt dari hujung ke hujung ni, buli ni 😂"
1147,11460,"RT @jokowi: Saya mengajak Pak Prabowo naik kereta MRT dari Stasiun Lebak Bulus sampai Senayan, pagi tadi. Ini pertemuan dua orang sahabat y…"
1148,11470,"Begini aksi Presiden @Jokowi membatik di stasiun MRT.
https://t.co/ihqx6XA9Eq

#MRT https://t.co/FljMsssLnP"
1149,11480,@cakimiNOW Sekedar memgingatkan cak. Sebaiknya mulai sekarang warga jakarta jangan pakai mobil pribadi. Pakailah mrt utk transportasi.
1150,11490,@curiouser94 Wkkwkw jadi dmn niehhh??? Naik mrt turun depannya tp lumayan juga yak dr lu wkwkwk
1151,11500,"Peringati Kemerdekaan, Jokowi Membatik Garuda di Stasiun MRT https://t.co/07ryOQ36Eg"
1152,11510,"#PolusiJakarta  awalnya ganyadar sampe tadi, soalnya emg selalu dalam ruangan dan sekolah aku banyak banget pohon.  tapi tadi jalan ke MRT dan parah kerasa banget kotornya 😭😷😷😷"
1153,11520,"@SoewarnoDiah sebenernya itu karena kebencian dgn junjungan lapak sebelah. 
jadi saat adegan MRT dan nasi goreng, banyak yg langsung mengira beliau tak konsisten. padahal tak ada deal2 politik apapun saat itu. 
kita tak tahu seberapa berat beban yg diemban beliau. 
#08SelaluSetiaBersamaUlama https://t.co/MXDWfLN5bu"
1154,11530,"Presiden @jokowi dan Ibu Negara Iriana membatik dalam acara pameran batik di Stasiun MRT Jakarta jelang peringatan HUT RI ke-74.
https://t.co/bof3iOICyC"
1155,11540,"Pagi ini di stasiun MRT Bundaran HI beda banget dari biasanya. Gak cuma ramai oleh pengguna MRT, tetapi ada banyak para pengrajin batik yang sedang membatik di stasiun MRT. Speechless sih biasanya orang membatik di pendopo-pendopo, eh ini kok bisa stasiun MRT? #BatikKemerdekaan https://t.co/784W9AU0s8"
1156,11550,"Presiden Mbatik di Stasiun MRT 
#BatikKemerdekaan https://t.co/nBnhJptjmD"
1157,11560,@qnafess Lagian kalo mrt emang udah ada?
1158,11570,@apahloh @askmenfess Jalan jalan naik mrt. Aku guidenya.
1159,11580,@qnafess emg ada mrt arah depok
1160,11590,"Wih presiden kita cakep
https://t.co/cTvAz1xDq3"
1161,11600,"@qnafess Mrt turun dimana, gak ada tujuan sampai ke depok."
1162,11610,"RT @mrtjakarta: Masyarakat yang akan menggunakan 
layanan MRT Jakarta dapat memilih beberapa alternatif metode pembayaran sebagai berikut:…"
1163,11620,"@qnafess krl lah, mrt turun dmn"
1164,11630,[qna] jam segini mau kearah depok enakan naik mrt atau krl?
1165,11640,@mahaedo mrt lah wahai kaum batavia
1166,11650,bau bau mau hari jumat nih
1167,11660,"Walau cuma nonton satu video @AttaHalilintar tentang MRT, selamat bergabung bro tajir di Twitter ❤❤❤"
1168,11670,aku maunya di pinang
1169,11680,jadinya aku gamau di tilang
1170,11690,saking takutnya kalo di tilang tuh bisa sampe di penjara
1171,11700,[qna] gais ktm krl bisa dipake buat mrt gaa?
1172,11710,"MRT @ Kuala Lumpur, Malaysia https://t.co/C0AhUV1ZXr"
1173,11720,Setujuuuuu ape ke bodo pg saman kereta kat mrt kwasa sentral tu xkacau org lain pon jalan luas terbentang ntah pape lah. https://t.co/e4Pehuwfk7
1174,11730,"@dennysalaki Kami mohon maaf saat ini kartu Jenius belum bisa digunakan untuk metode pembayaran di E-toll, Transjakarta, MRT, dll. HNY"
1175,11740,@toyoahmd cepat tanggal 25 :)
1176,11750,"Jelang HUT RI ke-74, Jokowi dan Iriana Membatik Gurdo di Stasiun MRT https://t.co/bof3iOICyC"
1177,11760,@im_ombe iya kredit motor
1178,11770,Naek MRT oge euy....hehehe
1179,11780,@iiicantik bulan madu aja bep
1180,11790,"@adriansyahyasin Udah sempat cek yg stasiun MRT Lebak Bulus, om? Lumayan jauh jalannya dari parkiran, apalagi yg pake mobil. Good point nya sih jadi bikin mikir2 jg klo bawa kendaraan sendiri. Hehehe."
1181,11800,@ayubsr icha bobo
1182,11810,"你好!!! (@ MRT Wat Mangkon - @bem_mrt in Pom Prap Sattru Phai, Bangkok) https://t.co/gJXpJqSKZi"
1183,11820,"Road to Playfest 2019 menghadirkan rangkaian event kejutan music and art

https://t.co/mLmQQ4fujH

#mediahavefun #saatnyahavefun #mhf #afz #music #art #road #roadtoplayfest2019 #mrt  #band https://t.co/9OmIAwbGZD"
1184,11830,"@wartapoLitik Coba dicek aja tingkat Polusi kota Jakarta antara tahun 2012-2017, apakah kota Jakarta termasuk kota tertinggi tingkat polusinya di dunia..
Karena diperiode tsb, Infrastruktur : LRT, MRT, Lingkar Semanggi, Tol JORR berbarengan dikerjakan."
1185,11840,@flooqey belom beli kan blon ada undangan wekekek maksutnya kalo dah di jeketi kan kemana mananya naik krl ato mrt ya gak se ato jalan kaki biar kaki sekuat batang singkong
1186,11850,tarik duit teroooooossss
1187,11860,@aywantyou #Augustwish smoga bisa masuk ruang guru
1188,11870,"RT @thedufresne: Cara jangka pendek (3-4 bulan) mengatasi polusi Jkt:

1) Gratis naik TJ, MRT, &amp; LRT (termasuk gratis parkir mobil/motor di…"
1189,11880,ketegangan Pemilu sebetulnya sudah mencair setelah adanya pertemuan antara Jokowi dengan Prabowo di MRT. disusul dengan pertemuan Prabowo dengan Megawati. #BarisanSakitHati  https://t.co/rZG6mm2G8R
1190,11890,Kaya anak yg terbuang....mirip yg pas peresmian MRT dulu...😝 https://t.co/nGlF71a7fE
1191,11900,@hubo_at_hubad CR ng mrt?
1192,11910,Jokowi dan Iriana Jokowi Membatik di MRT Bunderan HI https://t.co/1UtgcugSMY
1193,11920,"@DanielGurning22 @kulaboris @PT_TransJakarta Lagipula antara dukuh atas tosari dan lebak bulusnya bisa dipotong pakai MRT. Makanya S21 banyakin terminus lebak bulus harusnya, tapi ya gitu di radio dalam nya ga ada angkutan"
1194,11930,"@VIVAcoid Bikin kebijakan sadis.. Mobil &amp; motor pribadi dilarang masuk jakarta. Kerja di jakarta harus KTP domisili jakarta. Pembangunan lrt/mrt di tol cikampek bubarin, bikin macet dan polusi. Mewek mewek tuh cebong..."
1195,11940,Craving oden family mart pulak. Beli menu untuk berbuka la. Tapi leceh nak bawa dalam mrt japg.
1196,11950,"#Augustwish semoga semua yang di rencanakan,segera terkabulkan."
1197,11960,RT @mediaindonesia: #FotoMI Presiden @jokowi bersama Ibu Negara Iriana Joko Widodo mencanting batik motif Gurdo di kain sepanjang 74 meter…
1198,11970,"@elisa_jkt Jangan2 nih @HaikhSmartikh masih tidur dan bermimpi yaa... MRT, LRT dan TJ itu hampir2 gratis... kok dibilang nggak ada reward..."
1199,11980,@icha_mrt suka ngga ngacaaa
1200,11990,"RT jokowi: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra-sentra produksi batik … https://t.co/NJ4WChZFrw"
1201,12000,"@arabadrul @TheUsopIbrahim Sebelum MRT wujud, tiada parking bertingkat kan? Parking tu wujud sebab MRT. Same goes to Kajang."
1202,12010,"RT Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra-sentra produksi batik Indonesi… https://t.co/tJrg6YFvua"
1203,12020,@FiersaBesari ih apasi nyuruh nyuruh
1204,12030,"RT jokowi ""Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra-sentra produksi ba… https://t.co/srN65mm8Kb"""
1205,12040,"Presiden @jokowi Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini,sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra produksi batik Indonesia yg meneruskannya. https://t.co/GuRr4xr2fR"
1206,12050,@imstagram_ Bus mrt jeep keribels
1207,12060,RT @drhaltekehalte: Kunjungan ke-2 ke Warung Sekartaji di Jl Panglima Polim V/60 (600 m dari Stasiun MRT Blok A) untuk coba nasi pecel pinc…
1208,12070,@fuschia_onna @dokterparu Yg jauh naik MRT atau Transjak aja kak Nada 😁
1209,12080,@aloha_itsnala @alohacIub Lokal kok bukan mrt
1210,12090,Uji coba Mass Rapid Transit (MRT) yang dilaksanakan pada hari ini Selasa (12/3) mendapat respon positif sejumlah penumpang. Bahkan para penumpang mengaku kagum dengan fasilitas MRT yang disediakan. #2019JokowiKyaiMaruf https://t.co/K7XGmlAh6H
1211,12100,"@PurwonoAgus2 @mochamadarip pemimpin sudah siapkan semua sarana pendukung, jika masyarakatnya benar2 peduli dan menginginkan udara bersih ya gunakan trasportasi umum tersebut. MRT murah, keretapi ada, bus way tesebar."
1212,12110,"#RT @jokowi: Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra-sentra produksi bati… https://t.co/fx38sGJMph"
1213,12120,"Goresan pertama cucuk canting pada kain batik sepanjang 74 meter di peron Stasiun MRT Bundaran HI, siang ini, sebagai tanda dimulainya bulan kemerdekaan.

Kami menggambar pola garuda. Selanjutnya, 74 pembatik dari sentra-sentra produksi batik Indonesia yang meneruskannya. https://t.co/U8O0yM3U3U"
1214,12130,"Sambut 74 Tahun Kemerdekaan RI, Jokowi Membatik di Stasiun MRT [News] #TauCepatTanpaBatas #BeritaTerkini #Berita #News #BeritaNasional.https://t.co/b6S7Ymns50"
1215,12140,Aksi Jokowi Melukis Kain Batik di Stasiun MRT https://t.co/g4nM4OWjFg
1216,12150,"RT @BreRedana: Pertama kali naik MRT. Luar biasa. Kalau masih jd wartawan saya akan menulis dg judul: ""Dari Fatmawati ke HI: Jakarta Rasa B…"
1217,12160,Wah .. nanti kereta MRT nya perlu di motif batik ya pak @jokowi https://t.co/QYT3peDvxZ
1218,12170,"Nanti dah ada family, I nak ada rumah and kereta yg selesa, untuk family I. Tapi gi kerja, I xdrive, I nak naik mrt je hehe. Kereta tu untuk jalan dekat, like dinner ke, pasar ke, but for hangout weekend jauh2 takapa"
1219,12180,Presiden Mbatik di Stasiun MRT https://t.co/iP2pUjspFz
1220,12190,@agilseto WAH GAMPANG GAREK NUMPAK MRT \0/
1221,12200,"[Pemkot Surabaya Memastikan  MRT]
.
Pemkot Surabaya memastikan pembangunan transportasi publik Mass Rapid Transit (MRT) tetap akan dilakukan. Kepala Bappeko Surabaya, Eri Cahyadi, mengatakan kebutuhan akan… https://t.co/t1bMMTqTeE"
1222,12210,mrt paling pagi jam berapa ya
1223,12220,"Ya Allah lama-lama di ruang isolasi pake ginian aja udah gerah, sekarang dianjurin pake sehari-hari. Ntap!
Ayo naik MRT! https://t.co/OPAYhIt0gS"
1224,12230,"Permasalahan first dan last mile ini belum menemukan solusi yang lebih efektif. Ongkos kereta CommuterLine murah, MRT Jakarta layak dengan fasilitas yang ada, tapi bagaimana sampai dari rumah ke stasiun? Dari stasiun ke kantor? Tidak jarang ojek online adalah jawabannya. https://t.co/5dTbWJXt4Y"
1225,12240,@Hilmi28 Trus buat apa MRT dn LRT yg mnjd kbanggaan ibu kota?
1226,12250,"Pelepasan
Ultah
Jengkol
Ngakak
Cebok
Tahu isi
Somay
Mata ngantuk
Komplit semua jd satu

#hurahuracyclist 
#hurahuradijalanyangbenar @ Stasiun Mrt Haji Nawi https://t.co/togGoEpCaP"
1227,12260,"@Danny14147614 @TheUsopIbrahim Mcm mrt, mostly ada parking bertingkat, pelu jugak ambil kira budget untuk satu project. Traffic count untuk setiap station, perlu atau tidak. Saiz tapak parking dan sebaginya. Sorry panjang. Tapi betul saya setuju, Perlu penambah baikan."
1228,12270,"Ya emang tiap Jumat, Bahana on MRT Stage buat kamu! teman bahana, seru-seruan lagi melepas penat sepulang kerja yuk! Bahana on MRT Stage kali ini bersama @TheRainBand. Jumat, 2 Agustus jam 5pm. Dateng dan ramein ya! #BahanaOnMRTStage #bahanafm https://t.co/JaLFGfWnYy"
1229,12280,"Najib nak buat ECRL,HSR,

MRT bapa fasa dah di plan tu x kira  kl monorel pun ada dalam plan dia nak tambah

 lagi mudah org nak guna public transport tapi tu laaa hmmm https://t.co/WA6ZKze11V"
1230,12290,@diyasprdn MRT Jakarta
