,tweets,id,len,date,source,likes,retweets,sentiment
155,"@riribona1075 Terima kasih atas masukannya, akan kami sampaikan kepada divisi terkait.",1154170998935080962,86,2019-07-24 23:26:24,Twitter for iPhone,0,0,Positive
156,@Wiwindwi22 Park and ride di Stasiun Lebak Bulus Grab berada di sebrang SEPOLWAN https://t.co/LgHMc2OiDU,1154170833264242688,104,2019-07-24 23:25:44,Twitter for iPhone,1,1,Negative
157,"@Rizaaa15 Hai kak, 
emoney dapat digunakan untuk    naik MRT Jakarta.",1153947001517563904,69,2019-07-24 08:36:19,Twitter for iPhone,0,0,Positive
158,@sezer1405 @mungky @dhanymarlen Terima kasih atas masukannya akan kami sampaikan kepada divisi terkait. terima kasih,1153923252256821248,116,2019-07-24 07:01:56,Twitter for iPhone,2,0,Positive
159,"@rizalakbar Mohon maaf atas ketidaknyamanannya, akan kami sampaikan ke pihak stasiun untuk di tindaklanjut. terima kasih",1153884783631450113,120,2019-07-24 04:29:05,Sociomile Care,0,0,Positive
160,"@rizalakbar Mohon maaf atas ketidaknyamanannya, akan kami sampaikan ke pihak stasiun untuk di tindaklanjut. terima kasih",1153884630098911233,120,2019-07-24 04:28:28,TweetDeck,0,0,Positive
161,@ismangil https://t.co/EgAFQ8iHo5,1153882188741369857,33,2019-07-24 04:18:46,Twitter for iPhone,1,0,Positive
162,"@finishsetiaa Hai kak, Saat ini MRT Jakarta hanya melayani rute mulai dari Stasiun Lebak Bulus Grab - Bundaran HI.",1153880549578006528,114,2019-07-24 04:12:15,Sociomile Care,0,0,Positive
163,"@ismangil Hai kak, sudah tersedia Park and Ride di Stasiun Lebak Bulus Grab yang berada di sebrang SEPOLWAN.",1153877784999022593,108,2019-07-24 04:01:16,Sociomile Care,1,0,Negative
164,@finishsetiaa Dari arah mana kak ?,1153876976953782272,34,2019-07-24 03:58:03,Sociomile Care,0,0,Positive
165,@kakReno Terima kasih telah menggunakan MRT Jakarta :),1153874524313509889,54,2019-07-24 03:48:19,Sociomile Care,1,0,Positive
166,"Catat tanggalnya dan jangan sampai ketinggalan ya.  Tunggu apalagi, segera ikuti syarat &amp; ketentuan yang ada dan ni… https://t.co/LwBFuEJIxM",1153852548278652928,144,2019-07-24 02:20:59,Twitter for iPhone,16,13,Positive
167,"Teman MRT Jakarta, yuk naik MRT Jakarta dan jangan lupa simpan Single Trip Ticket (STT) dan juga struk pembelian ti… https://t.co/JKRtvIvE6j",1153852534341001216,140,2019-07-24 02:20:56,Twitter for iPhone,24,6,Negative
168,@f_dharmawan @FamilyMart_ID Sudah diterima laporanya oleh pihak stasiun kak.,1153851637829525504,76,2019-07-24 02:17:22,Twitter for iPhone,0,0,Positive
169,@barijoe Terima kasih telah menggunakan MRT Jakarta,1153850305626247168,51,2019-07-24 02:12:05,TweetDeck,1,0,Positive
170,"@Cholis_NUR Mohon maaf atas ketidaknyamanannya, akan kami sampaikan  kepada divisi terkait.",1153842849055555584,91,2019-07-24 01:42:27,Sociomile Care,0,0,Positive
171,"@Tommy_Liuyanto Hai kak, 
Hanya ada yang terdekat saja yaitu Stasiun Bundaran HI.",1153839091282092037,81,2019-07-24 01:27:31,Sociomile Care,0,0,Positive
172,"@quatrosofia Mohon maaf atas ketidaknyamanannya, akan kami sampaikan kepada divisi terkait.",1153835744256876544,91,2019-07-24 01:14:13,Twitter for iPhone,0,0,Positive
173,"@f_dharmawan @FamilyMart_ID Halo kak maaf atas ketidaknyamananya, akan kami sampaikan kepada petugas stasiun tersebut. Terima kasih",1153830155577520128,131,2019-07-24 00:52:00,Twitter for iPhone,0,0,Positive
174,"@reiagra Selamat malam, untuk menuju kesana Stasiun MRT Jakarta terdekat dari lokasi tersebut adalah Stasiun ASEAN.",1153673956353667073,115,2019-07-23 14:31:20,TweetDeck,0,0,Positive
175,@nurmanna Mengenai barang hilang dapat menelfon call center kami atau dapat langsung bertanya kepada petugas kami di stasiun.,1153661765697191936,125,2019-07-23 13:42:53,TweetDeck,0,0,Positive
176,"@oja_bella Terima kasih atas sarannya, akan kami sampaikan kepada divisi terkait.",1153637479817236480,81,2019-07-23 12:06:23,Twitter for iPhone,2,0,Positive
177,@canaconstance https://t.co/5CVUzFcMVd,1153629991428427776,38,2019-07-23 11:36:38,Twitter for iPhone,0,0,Positive
178,"@BillyJS_09 Bisa kak tapi akan dikenakan denda, tapi jika kaka naik MRT sampai ke Stasiun Lebak Bulus Grab semua pe… https://t.co/hoEJ7mLwcr",1153623753688932352,140,2019-07-23 11:11:50,Twitter for iPhone,0,0,Negative
179,"@vinnawidya Terima kasih atas sarannya, akan kami sampaikan kepada divisi terkait.",1153622920398159872,82,2019-07-23 11:08:32,Twitter for iPhone,2,0,Positive
180,@canaconstance https://t.co/ugv7O0x4R5,1153603511197659137,38,2019-07-23 09:51:24,Twitter for iPhone,0,0,Positive
181,@zlOuC9uFVWmxEc1 Terima kasih telah menggunakan MRT Jakarta.,1153504700777451521,60,2019-07-23 03:18:46,Sociomile Care,1,0,Positive
182,@itsandiny Terima kasih telah menggunakan MRT Jakarta.,1153489568693272576,54,2019-07-23 02:18:38,Sociomile Care,0,0,Positive
183,"@adgraha85 Terima kasih atas sarannya, akan kami sampaikan kepada divisi terkait.",1153484553308139521,81,2019-07-23 01:58:42,Sociomile Care,0,0,Positive
184,Siapkan kartu Single Trip (STT)/kartu uang elektronik masing-masing untuk naik MRT Jakarta karena di MRT Jakarta 1… https://t.co/4oFLu19amR,1153483312507179008,139,2019-07-23 01:53:47,Twitter for iPhone,17,9,Negative
185,@agnesdwiash Minimal saldo 14.000,1153458456508035073,33,2019-07-23 00:15:00,Twitter for iPhone,0,0,Positive
186,@Ari032017 Terima kasih telah menggunakan MRT Jakarta dan terima kasih atas masukannya akan kami sampaikan kepada d… https://t.co/cYxltqh2xd,1153324295050821632,140,2019-07-22 15:21:54,Twitter for iPhone,1,1,Positive
187,@idaidanur kurang lebih 15 menit kak,1153290539212533765,36,2019-07-22 13:07:46,Twitter for iPhone,0,0,Negative
188,"@dewikr Selamat malam, tidak ada larangan foto dan video di dalam stasiun dan kereta MRT Jakarta. Namun jika foto d… https://t.co/gEksc10NRt",1153276486276677633,140,2019-07-22 12:11:55,Twitter for iPhone,28,29,Negative
189,"Mohon maaf atas ketidaknyamananya, salah satu pintu tepi peron kereta nomor 2 di Stasiun Fatmawati arah Lebak Bulus… https://t.co/ugsVytBDx0",1153266711048495105,140,2019-07-22 11:33:05,Twitter for iPhone,4,2,Negative
190,"@adhikaprab Mohon maaf atas ketidaknyamanannya, akan kami tindaklanjut kepada divisi terkait.",1153261743629430784,93,2019-07-22 11:13:20,Twitter for iPhone,1,0,Positive
191,@pengembarasaga sama-sama kak🙂,1153159501115084800,30,2019-07-22 04:27:04,Sociomile Care,0,0,Positive
192,"@pengembarasaga Iya kak, dua arah masing-masing ada pintu masuk/keluar.",1153157551778758656,71,2019-07-22 04:19:19,TweetDeck,0,0,Positive
193,"@pengembarasaga Tidak perlu menyebrang kak, karna Stasiun Istora Mandiri &amp; Senayan yaitu stasiun bawah tanah jadi k… https://t.co/KbGZz5BdrN",1153156718504734721,144,2019-07-22 04:16:00,Sociomile Care,0,0,Positive
194,@pengembarasaga yang  terdekat Stasiun Senayan atau Istora Mandiri kak,1153153071750344705,70,2019-07-22 04:01:31,Sociomile Care,0,0,Positive
195,@EzaAdiSetia Iya sama-sama kak 🙂,1153144266450882560,32,2019-07-22 03:26:32,Sociomile Care,0,0,Positive
196,"@EzaAdiSetia Tidak bisa kak, 1 kartu untuk 1 penumpang",1153142493187198977,54,2019-07-22 03:19:29,Sociomile Care,0,0,Negative
197,@novaldo94 Terima kasih telah menggunakan MRT Jakarta 🙂,1153138935175864322,55,2019-07-22 03:05:21,Sociomile Care,1,0,Positive
198,"@Fendiakhmad85 Iya kak , jaminan kartu 15.000 dan bisa direfund.",1153124596670816256,64,2019-07-22 02:08:22,Sociomile Care,0,0,Negative
199,"@ditto_p Hai kak, 
Terima kasih atas masukannya, akan kami sampaikan kepada divisi terkait.",1153122439477354496,91,2019-07-22 01:59:48,Sociomile Care,2,0,Positive
